date,empty_beds,recovered,death,active,empty_ven,new,ppe_stock,zone
2020-04-21,27,2,1,7,3,2,3,Alwal
2020-04-22,193,2,1,8,20,2,20,Alwal
2020-04-23,208,2,1,10,15,2,15,Alwal
2020-04-24,1176,3,1,12,33,3,33,Alwal
2020-04-25,930,5,1,17,43,5,43,Alwal
2020-04-26,0,5,1,26,4,5,4,Alwal
2020-04-21,169,5,1,29,32,5,32,Begumpet
2020-04-22,10,5,1,29,1,5,1,Begumpet
2020-04-23,5,6,1,30,2,6,2,Begumpet
2020-04-24,0,6,1,31,47,6,47,Begumpet
2020-04-25,17,6,1,36,3,6,3,Begumpet
2020-04-26,364,6,1,36,37,6,37,Begumpet
2020-04-21,609,6,1,39,28,6,28,Secunderabad Division
2020-04-22,705,2,1,7,15,6,15,Secunderabad Division
2020-04-23,56,2,1,8,29,6,29,Secunderabad Division
2020-04-24,519,2,1,10,23,6,23,Secunderabad Division
2020-04-25,2471,3,1,12,42,6,42,Secunderabad Division
2020-04-26,981,2,1,7,53,8,53,Secunderabad Division
2020-04-21,9,2,1,8,1,8,1,Malkajgiri
2020-04-22,334,2,1,10,51,15,51,Malkajgiri
2020-04-23,273,3,1,12,70,18,70,Malkajgiri
2020-04-24,23,5,1,17,9,19,9,Malkajgiri
2020-04-25,143,5,1,26,13,21,13,Malkajgiri
2020-04-26,56,5,1,29,9,21,9,Malkajgiri
2020-04-21,21,5,1,29,11,21,11,Gajula Ramaram
2020-04-22,1655,6,1,30,35,25,35,Gajula Ramaram
2020-04-23,3,6,1,31,4,25,4,Gajula Ramaram
2020-04-24,510,6,1,36,28,2,28,Gajula Ramaram
2020-04-25,602,6,1,36,33,2,33,Gajula Ramaram
2020-04-26,24,6,1,39,4,2,4,Gajula Ramaram
2020-04-21,692,2,1,7,32,3,32,Quthbullapur
2020-04-22,802,2,1,8,15,2,15,Quthbullapur
2020-04-23,99,2,1,10,9,2,9,Quthbullapur
2020-04-24,4442,3,1,12,174,2,174,Quthbullapur
2020-04-25,410,5,1,17,20,3,20,Quthbullapur
2020-04-26,27,5,1,26,3,5,3,Quthbullapur
2020-04-21,193,5,1,29,20,5,20,Chandrayangutta
2020-04-22,208,5,1,29,15,5,15,Chandrayangutta
2020-04-23,1176,6,1,30,33,5,33,Chandrayangutta
2020-04-24,930,6,1,31,43,6,43,Chandrayangutta
2020-04-25,0,6,1,36,4,6,4,Chandrayangutta
2020-04-26,169,6,1,36,32,6,3,Chandrayangutta
2020-04-21,10,6,1,39,1,6,20,Charminar
2020-04-22,5,2,1,7,2,6,15,Charminar
2020-04-23,27,2,1,8,47,6,33,Charminar
2020-04-24,193,2,1,10,3,6,43,Charminar
2020-04-25,208,3,1,12,37,6,4,Charminar
2020-04-26,1176,5,1,17,28,6,32,Charminar
2020-04-21,930,5,1,26,15,8,1,Falakunuma
2020-04-22,0,5,1,29,29,8,2,Falakunuma
2020-04-23,169,5,1,29,23,15,47,Falakunuma
2020-04-24,10,6,1,30,42,18,3,Falakunuma
2020-04-25,5,6,1,31,53,19,37,Falakunuma
2020-04-26,0,2,1,7,1,21,28,Falakunuma
2020-04-21,17,2,1,8,51,21,15,Malakpet
2020-04-22,364,2,1,10,70,21,29,Malakpet
2020-04-23,609,3,1,12,9,25,23,Malakpet
2020-04-24,705,5,1,17,13,2,42,Malakpet
2020-04-25,56,5,1,26,9,2,53,Malakpet
2020-04-26,519,5,1,29,11,2,1,Malakpet
2020-04-21,2471,5,1,29,35,3,51,Rajendra Nagar
2020-04-22,981,6,1,30,4,5,70,Rajendra Nagar
2020-04-23,9,6,1,31,28,5,9,Rajendra Nagar
2020-04-24,334,6,1,36,33,5,13,Rajendra Nagar
2020-04-25,273,6,1,36,4,5,9,Rajendra Nagar
2020-04-26,23,6,1,39,32,6,11,Rajendra Nagar
2020-04-21,143,2,1,7,15,6,35,Santhoshnagar
2020-04-22,56,2,1,8,9,6,4,Santhoshnagar
2020-04-23,21,2,1,10,174,2,28,Santhoshnagar
2020-04-24,1655,3,1,12,20,2,33,Santhoshnagar
2020-04-25,3,5,1,17,3,2,4,Santhoshnagar
2020-04-26,510,5,1,26,20,3,32,Santhoshnagar
2020-04-21,602,5,1,29,15,5,15,Chandanagar
2020-04-22,24,5,1,29,33,5,9,Chandanagar
